id,username,characters,title,postLink,image,score,scoreMax,scoreRaw,place,reward,isWinner,awardTitle,comment,verify
12,@venera_chan,Астерия,Работа #12,https://t.me/StableWaifuComments/17773566,img/works/work_012.jpg,3,5,3,3,50,True,3 место,"Я не очень люблю пирсинг на сосках, но сама работа выглядит хорошо и сочно","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 12:55 МСК"
13,Азизбек,Кассиан,Работа #13,https://t.me/StableWaifuComments/17774692,img/works/work_013.jpg,3,5,3,3,50,True,3 место,"грустный Арт. И правда печально, что ты по сути потерял дом, хоть ты и никогда в нем не жил, и вся твоя жизнь ограничена летающий городом, над чужим миром.","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 16:47 МСК"
14,Азизбек,Иона Карлосс,Работа #14,https://t.me/StableWaifuComments/17774740,img/works/work_014.jpg,2,5,2,0,0,False,,"Потеря дома, и самого себя, оставляет на каждом, свой непоправимый след","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 16:54 МСК"
15,Азизбек,Эриду,Работа #15,https://t.me/StableWaifuComments/17774831,img/works/work_015.jpg,4,5,4,2,100,True,2 место,Мне очень понравилась сама меша.,"👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 17:05 МСК"
16,Азизбек,Лагострёмия,Работа #16,https://t.me/StableWaifuComments/17774896,img/works/work_016.jpg,5,5,5,1,300,True,1 место,"Очень страшно, когда на тебе лежит страшная ответственность. Ты не просто следишь за состоянием города-космолёта, ты поддерживаешь его жизнь, и если что-то пойдёт не так, за это надо отвечать. Это выматывает","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 17:11 МСК"
17,Азизбек,Таласса,Работа #17,https://t.me/StableWaifuComments/17774941,img/works/work_017.jpg,2,5,2,0,0,False,,"Ну, прикольно, магичка-рыба","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 17:07 МСК"
18,Азизбек,Церера,Работа #18,https://t.me/StableWaifuComments/17774980,img/works/work_018.jpg,2,5,2,0,0,False,,"Эдакое городское, прикольно","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 17:18 МСК"
19,Азизбек,"Эриду, Церера",Работа #19,https://t.me/StableWaifuComments/17775030,img/works/work_019.jpg,3,5,3,3,50,True,3 место,"Оба весьма сильные Богини, меняются формами, и оба получать от Ан","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 17:23 МСК"
20,Азизбек,Эриду,Работа #20,https://t.me/StableWaifuComments/17775087,img/works/work_020.jpg,2,5,2,0,0,False,,"Бородка у парня испортило композицию, но а так, прикольно","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 17:29 МСК"
21,Азизбек,Астерия,Работа #21,https://t.me/StableWaifuComments/17775221,img/works/work_021.jpg,2,5,2,0,0,False,,"Надо было написать, что порно должнл было быть красивым. Я немного офигела. увидев это","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 17:41 МСК"
22,@DBcrimson,Иона Карлосс,Работа #22,https://t.me/StableWaifuComments/17775269,img/works/work_022.jpg,3,5,3,3,50,True,3 место,"Иногда нажо выстрелить, что бы спасти других. Для врача, это очень тяжелое решение, но важное","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 17:43 МСК"
23,Азизбек,Мао Цзи,Работа #23,https://t.me/StableWaifuComments/17775405,img/works/work_023.jpg,2,5,2,0,0,False,,"Какой такой, христианский вайб вышел, но работа простая","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 17:57 МСК"
24,@DBcrimson,Дандан Цзянь,Работа #24,https://t.me/StableWaifuComments/17775518,img/works/work_024.jpg,3,5,3,3,50,True,3 место,"И опять выстрел врача, но уже от главного. Она уже на примере других, знает, насколько важно быть решительной","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 18:13 МСК"
25,@venera_chan,Церера,Работа #25,https://t.me/StableWaifuComments/17776529,img/works/work_025.jpg,5,5,5,1,300,True,1 место,"От этой работы аж дух захватило, насколько это нежно и сочно. Я в любви","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 20:02 МСК"
26,Азизбек,Лагострёмия,Работа #26,https://t.me/StableWaifuComments/17777049,img/works/work_026.jpg,3,5,3,3,50,True,3 место,"Сложно как то откоментировать, работу, но выглядит красиво","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 20:24 МСК"
27,@macsheacaich,Лагострёмия,Работа #27,https://t.me/StableWaifuComments/17778508,img/works/work_027.jpg,3,5,3,3,50,True,3 место,"Иногда хочется взять, и все бросить, но нет, если все бросить, все полетит в тартарары, и это надо исправлять, по пути ругая весь мир","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 22:23 МСК"
28,@macsheacaich,Рэй,Работа #28,https://t.me/StableWaifuComments/17790155,img/works/work_028.jpg,3,5,3,3,50,True,3 место,"Меша, мне увы, не понравилась, но сама композиция, мое почтение","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 21:00 МСК"
29,@desu_chaan,Талласа,Работа #29,https://t.me/StableWaifuComments/17787254,img/works/work_029.jpg,4,5,4,2,100,True,2 место,"В какой-то мере, это нежная и грустная работа. Она отлично передала суть персонажа","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 11:06 МСК"
30,@crystalloli,Висси,Работа #30,https://t.me/StableWaifuComments/17784943,img/works/work_030.jpg,5,5,5,1,300,True,1 место,"Очень яркая работа, прям шикарно для такого жизнерадостного андроида.","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 13:24 МСК"
31,@Pixe1m4n,Астерия,Работа #31,https://t.me/StableWaifuComments/17784652,img/works/work_031.jpg,3,5,3,3,50,True,3 место,"Не знаю кто, но я готова","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 12:56 МСК"
32,Азизбек,Эриду,Работа #32,https://t.me/StableWaifuComments/17784459,img/works/work_032.jpg,3,5,3,3,50,True,3 место,Довольно прикольная фреска,"👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 12:38 МСК"
33,@Podpolniy_Krisich,Таласса,Работа #33,https://t.me/StableWaifuComments/17784003,img/works/work_033.jpg,4,5,4,2,100,True,2 место,"Довольно нежный и милый секс, мне вкатило","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 10:23 МСК"
34,@macsheacaich,Эриду,Работа #34,https://t.me/StableWaifuComments/17784415,img/works/work_034.jpg,2,5,2,0,0,False,,"Прикольно, но не вкатило. Но Прикольно","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 12:32 МСК"
35,Азизбек,Иона Карлосс,Работа #35,https://t.me/StableWaifuComments/17784352,img/works/work_035.jpg,2,5,2,0,0,False,,"Хм, ну нормально в принципе","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 09:38 МСК"
36,@ShriMpik1,Иона Карлосс,Работа #36,https://t.me/StableWaifuComments/17784023,img/works/work_036.jpg,3,5,3,3,50,True,3 место,"Меша и правда хорошая, но хвост рука прям перекосоебило","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 11:41 МСК"
37,@Podpolniy_Krisich,Таласса,Работа #37,https://t.me/StableWaifuComments/17783749,img/works/work_037.jpg,4,5,4,2,100,True,2 место,"Хыххы, думаю, рыбка не будет против, что над ней так буду доминировать. Весы, весьма специфические.","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 11:09 МСК"
38,@macsheacaich,Церера,Работа #38,https://t.me/StableWaifuComments/17783772,img/works/work_038.jpg,5,5,5,1,300,True,1 место,"Страшно терять свой дом, где ты жил с самого его основания, потерять большую часть жителей, которых ты попросту не успел спасти. Но надо жить дальше с этой болью. Просто ради других, тех, кто остался","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 11:09 МСК"
39,@venera_chan,Церера,Работа #39,https://t.me/StableWaifuComments/17783690,img/works/work_039.jpg,4,5,4,2,100,True,2 место,"Тут все прикольное, и поза, и композиция, и фон, все прям хорошо легло","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 11:09 МСК"
40,Азизбек,Эриду,Работа #40,https://t.me/StableWaifuComments/17783170,img/works/work_040.jpg,2,5,2,0,0,False,,Безумие и правда страшная вещь,"👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 10:24 МСК"
41,Азизбек,Эриду,Работа #41,https://t.me/StableWaifuComments/17783039,img/works/work_041.jpg,2,5,2,0,0,False,,"Зная Эриду, она бы не смутилась, а что нибудь выдала такое, от чего хоть стой, хоть падай","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 09:52 МСК"
42,@macsheacaich,Кассиан,Работа #42,https://t.me/StableWaifuComments/17783038,img/works/work_042.jpg,5,5,5,1,300,True,1 место,"Восстановление природы из прошлого, хоть и в виде модели, и правда весьма тяжёлая, но завораживающая задача.","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 10:14 МСК"
43,Азизбек,Астерия,Работа #43,https://t.me/StableWaifuComments/17782842,img/works/work_043.jpg,3,5,3,3,50,True,3 место,хлоп по попе,"👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 09:45 МСК"
44,Азизбек,Астерия,Работа #44,https://t.me/StableWaifuComments/17782827,img/works/work_044.jpg,3,5,3,3,50,True,3 место,Хлоп по попеХ2,"👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 09:43 МСК"
45,Азизбек,Эриду,Работа #45,https://t.me/StableWaifuComments/17782576,img/works/work_045.jpg,2,5,2,0,0,False,,"Мне не шибко понравилась ни меша, ни композиция. Да и увеличивать грудь персонажа было лишним","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 08:55 МСК"
46,@crystalloli,Мао,Работа #46,https://t.me/StableWaifuComments/17782549,img/works/work_046.jpg,3,5,3,3,50,True,3 место,"К рабочему дню, он явно готов.","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 09:16 МСК"
47,Азизбек,Церера,Работа #47,https://t.me/StableWaifuComments/17782230,img/works/work_047.jpg,5,5,5,1,300,True,1 место,"В эту работу, я тоже сразу влюбилась. Мне она очень понравилась, и то, как Изобилие привлекает к себе взор","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 08:50 МСК"
48,Азизбек,Ан,Работа #48,https://t.me/StableWaifuComments/17782180,img/works/work_048.jpg,2,5,2,0,0,False,,"Ну, такая одежда немного не про нее, хотя и выглядит прикольно. Вообще, она этакая момми","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 08:47 МСК"
49,Азизбек,Лагострёмия,Работа #49,https://t.me/StableWaifuComments/17782133,img/works/work_049.jpg,3,5,3,3,50,True,3 место,"Интересно даже, кто тот счастливчик, который смог вытерпеть характер Лаг?","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 08:36 МСК"
50,Азизбек,Таласса,Работа #50,https://t.me/StableWaifuComments/17781702,img/works/work_050.jpg,5,5,5,1,300,True,1 место,Приятно просто войти в воду и поплавать в ней и расслабиться,"👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 06:58 МСК"
51,Азизбек,Таласса,Работа #51,https://t.me/StableWaifuComments/17781506,img/works/work_051.jpg,2,5,2,0,0,False,,Изучение подводного мира всегда закатывает дух,"👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 06:57 МСК"
52,@macsheacaich,Леон,Работа #52,https://t.me/StableWaifuComments/17781489,img/works/work_052.jpg,5,5,5,1,300,True,1 место,"Изучение неба, всегда захватывает дух людей, что в прошлом, что в нынешнем, что в будущем","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 06:56 МСК"
53,Азизбек,Эриду,Работа #53,https://t.me/StableWaifuComments/17781325,img/works/work_053.jpg,2,5,2,0,0,False,,Эриду очень любит пугать других,"👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 06:27 МСК"
54,Азизбек,Дандан Цзянь,Работа #54,https://t.me/StableWaifuComments/17781225,img/works/work_054.jpg,2,5,2,0,0,False,,"Ну, не думаю, что этот медик так следит за телом, хах. Вернее не качает его","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 06:25 МСК"
55,Азизбек,Эриду,Работа #55,https://t.me/StableWaifuComments/17781189,img/works/work_055.jpg,3,5,3,3,50,True,3 место,Ща кто-то лишится пальца,"👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 06:18 МСК"
56,Азизбек,Эриду,Работа #56,https://t.me/StableWaifuComments/17781129,img/works/work_056.jpg,2,5,2,0,0,False,,слюнки тут уже лишние. Мне не особо зашло,"👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 06:07 МСК"
57,Азизбек,"Ан, Церера",Работа #57,https://t.me/StableWaifuComments/17781086,img/works/work_057.jpg,2,5,2,0,0,False,,"Ну, прикольно, но не вкатило, да, опять.","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 06:03 МСК"
58,Азизбек,Ан,Работа #58,https://t.me/StableWaifuComments/17781065,img/works/work_058.jpg,2,5,2,0,0,False,,"Ну, тоже такое себе. Ан не шибко идёт атмосфера христианства и вампиризма","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 05:59 МСК"
59,Азизбек,Сириус,Работа #59,https://t.me/StableWaifuComments/17781055,img/works/work_059.jpg,3,5,3,3,50,True,3 место,"Надо внимательно следить не только за небом, но и домом","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 05:50 МСК"
60,Азизбек,Висси,Работа #60,https://t.me/StableWaifuComments/17781035,img/works/work_060.jpg,2,5,2,0,0,False,,"Хм, не думаю, что роботу в принципе надо есть человеческую пищу","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 05:41 МСК"
61,Азизбек,Талласа,Работа #61,https://t.me/StableWaifuComments/17781033,img/works/work_061.jpg,3,5,3,3,50,True,3 место,Приятно потратить время на плавание,"👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 05:25 МСК"
62,Азизбек,"Эриду, Ан",Работа #62,https://t.me/StableWaifuComments/17781022,img/works/work_062.jpg,2,5,2,0,0,False,,"Ан так то выше, хоть и довольно тощая. Да и косы она не любит. В принципе, прикольно, не зашло","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 05:24 МСК"
63,Азизбек,Ан,Работа #63,https://t.me/StableWaifuComments/17781019,img/works/work_063.jpg,2,5,2,0,0,False,,"Немного ткань все таки лишняя, или надо было сделать по другому","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 04:48 МСК"
64,@yukidaruma8,Эриду,Работа #64,https://t.me/StableWaifuComments/17791211,img/works/work_064.jpg,4,5,4,2,100,True,2 место,"Эриду мужчина, явно интересуется состояние ""зрителя""","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 22:21 МСК"
65,@forLansely,Астерия,Работа #65,https://t.me/StableWaifuComments/17792146,img/works/work_065.jpg,5,5,5,1,300,True,1 место,"вах-вах, Шикарная атмосфера вышла, да и само ханьфу красивое","👍 Арт принадлежит отправителю.
Время генерации: 26.05.2026, 22:43 МСК"
66,@Bonja007,Лагострёмия,Работа #66,https://t.me/StableWaifuComments/17804170,img/works/work_066.jpg,3,5,3,3,50,True,3 место,"Когда ты случайно уронил важные бумаги и ты просто лёг, что бы не вспасть в истерику и просто полежать, дабы потом это всё убрать","👍 Арт принадлежит отправителю.
Время генерации: 27.05.2026, 21:04 МСК"
67,@Bonja007,Висси,Работа #67,https://t.me/StableWaifuComments/17804087?single,img/works/work_067.jpg,4,5,4,2,100,True,2 место,"ой-ой, как тут все красиво и детализировано, мне понравилось","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 04:22 МСК"
68,@Bonja007,Рэй,Работа #68,https://t.me/StableWaifuComments/17804087?single,img/works/work_068.jpg,4,5,4,2,100,True,2 место,"Северное сияние за окном, весьма красивое, да и сам партнёр уютный","👍 Арт принадлежит отправителю.
Время генерации: 25.05.2026, 04:22 МСК"
69,@venera_chan,Талласа (+ОС),Работа #69,https://t.me/StableWaifuComments/17803509,img/works/work_069.jpg,3,5,3,3,50,True,3 место,"хах, на самом деле прикольное и нежное","👍 Арт принадлежит отправителю.
Время генерации: 27.05.2026, 20:12 МСК"
70,@Erika_Demons_moon,Ан,Работа #70,https://t.me/StableWaifuComments/17799291,img/works/work_070.jpg,5,5,5,1,300,True,1 место,Очень красивая композиция. мне нравится. Явно на хороший лад настроен разговор,"👍 Арт принадлежит отправителю.
Время генерации: 27.05.2026, 10:09 МСК"
71,@ShriMpik1,Висси,Работа #71,https://t.me/StableWaifuComments/17794516,img/works/work_071.jpg,2,5,2,0,0,False,,Не хватает как по мне позы и динамики.,"👍 Арт принадлежит отправителю.
Время генерации: 27.05.2026, 08:28 МСК"
72,@ShriMpik1,Висси,Работа #72,https://t.me/StableWaifuComments/17794504,img/works/work_072.jpg,3,5,3,3,50,True,3 место,"Механическая, немного хоррорная атмосфера, розовое опят таки, динамика","👍 Арт принадлежит отправителю.
Время генерации: 27.05.2026, 08:26 МСК"
73,@ShriMpik1,Таласса,Работа #73,https://t.me/StableWaifuComments/17794120,img/works/work_073.jpg,3,5,3,3,50,True,3 место,"довольно мило вышло, рыбка с котиками. Она даже слегка удивлена, что к ней подходят","👍 Арт принадлежит отправителю.
Время генерации: 27.05.2026, 08:09 МСК"
74,@ianmaysky,Иона Карлосс,Работа #74,https://t.me/StableWaifuComments/17793682,img/works/work_074.jpg,4,5,4,2,100,True,2 место,"И правда, у каждого врача своя могила, но очень важно, учится на этих ошибках или понимать, что всех, спасти невозможно, как бы тебе этого не хотелось.","👍 Арт принадлежит отправителю.
Время генерации: 27.05.2026, 07:02 МСК"
75,@forLansely,Астерия,Работа #75,https://t.me/StableWaifuComments/17815223,img/works/work_075.jpg,3,5,3,3,50,True,3 место,Кого-то щась заобнимают,"👍 Арт принадлежит отправителю.
Время генерации: 28.05.2026, 21:03 МСК"
76,@ShriMpik1,Астерия,Работа #76,https://t.me/StableWaifuComments/17808703,img/works/work_076.jpg,2,5,2,0,0,False,,"Прикольное, лотос в руке хорош","👍 Арт принадлежит отправителю.
Время генерации: 28.05.2026, 11:46 МСК"
77,@Erika_Demons_moon,Лагострёмия,Работа #77,https://t.me/StableWaifuComments/17807362,img/works/work_077.jpg,3,5,3,3,50,True,3 место,"Просто отдых, а ты вошёл туда, куда не надо. у тебя пять секунд уйти, иначе тебя забросают этими подушками","👍 Арт принадлежит отправителю.
Время генерации: 27.05.2026, 21:13 МСК"
78,@forLansely,Астерия,Работа #78,https://t.me/StableWaifuComments/17816404,img/works/work_078.jpg,3,5,3,3,50,True,3 место,"Хорошая, нежная работа. Как она приглашает ""зрителя"" прям сок","👍 Арт принадлежит отправителю.
Время генерации: 28.05.2026, 22:28 МСК"
79,@forLansely,Церера,Работа #79,https://t.me/StableWaifuComments/17817291,img/works/work_079.jpg,4,5,4,2,100,True,2 место,"ой, А ей кимоно прям хорошо подошло. Аж по другому стала восприниматься","👍 Арт принадлежит отправителю.
Время генерации: 28.05.2026, 23:41 МСК"
80,@sseltraeh,Таласса,Работа #80,https://t.me/StableWaifuComments/17828408,img/works/work_080.jpg,3,5,3,3,50,True,3 место,"Нормально, красиво, сочно","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 22:58 МСК"
81,Азизбек,Эриду,Работа #81,https://t.me/StableWaifuComments/17827872,img/works/work_081.jpg,5,5,5,1,300,True,1 место,"За такую ебейшую отсылку, прям высокое место. да и сама композиция мне нравится","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 22:26 МСК"
82,@sseltraeh,Ан,Работа #82,https://t.me/StableWaifuComments/17827679,img/works/work_082.jpg,3,5,3,3,50,True,3 место,"Меша не понравилась, но сама композиция, мое почтение","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 21:42 МСК"
83,@the_elv,Иона Карлосс,Работа #83,https://t.me/StableWaifuComments/17827035,img/works/work_083.jpg,4,5,4,2,100,True,2 место,"О, красиво вышло, композиция мне очень понравилась","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 21:27 МСК"
84,Азизбек,Эриду,Работа #84,https://t.me/StableWaifuComments/17826671,img/works/work_084.jpg,3,5,3,3,50,True,3 место,"Играть с Эриду на ставки, ты обрекаешь себя","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 20:43 МСК"
85,@the_elv,Астерия,Работа #85,https://t.me/StableWaifuComments/17826605,img/works/work_085.jpg,4,5,4,2,100,True,2 место,"Уф, явно решила немного отлынуть от работы. Даже грудь оголила, дабы её немного помацать","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 20:46 МСК"
86,@the_elv,Лагострёмия,Работа #86,https://t.me/StableWaifuComments/17826453,img/works/work_086.jpg,4,5,4,2,100,True,2 место,"Красивое, розовое, хотя видимо, зашли не вовремя, судя по отупелому взгляду Лаг","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 20:30 МСК"
87,@the_elv,Ан,Работа #87,https://t.me/StableWaifuComments/17826273,img/works/work_087.jpg,5,5,5,1,300,True,1 место,"Сука, я в любви эти фонарики, дерево, сама красная атмосфера для Ан лёгкая ну просто идеально. все очень красиво и сочно","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 20:18 МСК"
88,@the_elv,Рэй,Работа #88,https://t.me/StableWaifuComments/17826123,img/works/work_088.jpg,5,5,5,1,300,True,1 место,"даже роботам, интересно изучать звёздное небо. Оно и правда захватывает дух.","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 20:04 МСК"
89,@the_elv,Висси,Работа #89,https://t.me/StableWaifuComments/17825788,img/works/work_089.jpg,5,5,5,1,300,True,1 место,"снова зелёная атмосфера, но не менее Шикарная и эстетичная","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 19:39 МСК"
90,@the_elv,Таласса,Работа #90,https://t.me/StableWaifuComments/17825537,img/works/work_090.jpg,5,5,5,1,300,True,1 место,"Изучение неизведанного, всегда интересовало рыбку, вне своей профессии","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 19:11 МСК"
91,@sseltraeh,Лагострёмия,Работа #91,https://t.me/StableWaifuComments/17825420,img/works/work_091.jpg,4,5,4,2,100,True,2 место,"Если мужики сидять так, будто им яйца давят, то почему девушки не могут так сидеть и проветрить свою киску?","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 18:55 МСК"
92,@YormiFB,Таласса,Работа #92,https://t.me/StableWaifuComments/17825375,img/works/work_092.jpg,4,5,4,2,100,True,2 место,"программирование и в правду похоже на очень сложную магию, но оно в своей сути невероятно","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 18:51 МСК"
93,@sseltraeh,Мао Цзи,Работа #93,https://t.me/StableWaifuComments/17825182,img/works/work_093.jpg,4,5,4,2,100,True,2 место,"Придётся этому гению думать, как выбраться их этих пут","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 18:27 МСК"
94,@forLansely,Астерия,Работа #94,https://t.me/StableWaifuComments/17824216,img/works/work_094.jpg,5,5,5,1,300,True,1 место,Утро должно начинается с чашки кофе,"👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 16:57 МСК"
95,@forLansely,Астерия,Работа #95,https://t.me/StableWaifuComments/17824197,img/works/work_095.jpg,4,5,4,2,100,True,2 место,"прикольная пижама, да","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 16:53 МСК"
96,@forLansely,Астерия,Работа #96,https://t.me/StableWaifuComments/17823866,img/works/work_096.jpg,3,5,3,3,50,True,3 место,"и снова красота, мне нравится","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 15:14 МСК"
97,@sseltraeh,Рэй,Работа #97,https://t.me/StableWaifuComments/17823677,img/works/work_097.jpg,2,5,2,0,0,False,,"Ну вроде прикольное, но не вкатило. Не понятно, что этим сказано","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 15:57 МСК"
98,Азизбек,Ан,Работа #98,https://t.me/StableWaifuComments/17823155,img/works/work_098.jpg,3,5,3,3,50,True,3 место,"Ракурс тут шикарный, мне понравилось","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 10:14 МСК"
99,@ianmaysky,Таласса,Работа #99,https://t.me/StableWaifuComments/17822406,img/works/work_099.jpg,3,5,3,3,50,True,3 место,"Меша, честно, подкачала, но ля, сама композиция и постановка кадра хорошая","👍 Арт принадлежит отправителю.
Время генерации: 29.05.2026, 12:41 МСК"
